Name,County,Date,Start Date and Time,End Date and Time,Latitude,Longitude,Acres Burned,Duration,Maximum Temperature,Minimum Temperature,Temperature,Dew Point,Precipitation,Wind Speed,Wind Gust,Wind Direction,Cloud Cover,Relative Humidity,Solar Radiation,Solar Energy,PDSI,NDVI,Elevation,Slope
Prairie Fire ,Sacramento,2019-08-02,2019-08-02 14:45:00+00:00,2019-08-02 17:00:00+00:00,38.622058,-121.114095,50.0,0.09375,92.3,60.9,76.4,52.2,0.0,9.4,12.8,184.75,0.0,45.62,459.1,26.4,1.979999542236328,2570.0,118,5.195625305175781
Browns Fire,Sacramento,2019-08-02,2019-08-02 09:23:00+00:00,2019-08-02 14:03:00+00:00,38.3525,-121.123611,84.0,0.19444444444444445,93.3,60.1,75.8,55.7,0.0,10.2,16.1,204.5,0.0,53.84,479.4,27.6,1.7999992370605469,3972.0,46,3.6471023559570312
Mesa Fire ,Kern,2019-07-31,2019-07-31 17:13:53+00:00,,35.60989,-118.41204,448.0,,101.8,67.9,82.5,39.2,0.0,15.2,26.4,282.42,2.1,23.37,528.5,28.5,3.6200008392333984,2426.0,994,6.478381633758545
Toro Fire ,Riverside,2019-08-05,2019-08-05 15:36:23+00:00,2019-08-06 18:42:00+00:00,33.740219,-117.333728,94.0,1.1289004629629629,101.2,62.0,81.0,50.5,0.0,13.4,21.9,238.96,0.0,41.9,502.3,25.3,2.25,2041.0,599,30.0556697845459
Caliente Fire,Kern,2019-08-05,2019-08-05 13:56:02+00:00,2019-08-06 18:43:00+00:00,35.287373,-118.623651,29.0,1.1992824074074073,93.2,65.3,79.3,46.4,0.0,14.1,23.0,262.08,0.0,33.39,518.6,28.0,2.8700008392333984,2651.0,416,11.48390769958496
Gilbert Fire,Shasta,2019-08-04,2019-08-04 17:18:21+00:00,,40.55924,-122.25409,30.0,,100.8,70.1,85.6,48.9,0.0,17.1,23.0,174.08,0.0,33.1,479.3,27.6,1.9099998474121092,4137.0,177,9.580551147460938
W1 McDonald Fire,Lassen,2019-08-08,2019-08-08 18:42:41+00:00,2019-08-11 11:35:00+00:00,40.943799,-120.275298,1020.0,2.7029976851851854,88.7,50.9,71.3,35.7,0.0,19.3,27.7,232.83,5.2,32.36,496.1,28.6,3.3600006103515625,2562.0,1678,3.074680805206299
Harte Fire,Alameda,2019-08-09,2019-08-09 15:09:50+00:00,,37.708743,-121.841879,240.0,,80.9,59.0,68.1,53.9,0.0,17.2,,249.29,2.6,62.83,446.8,25.7,2.4200000762939453,2676.0,135,3.884828805923462
Preston Fire,Tuolumne,2019-08-08,2019-08-08 16:16:40+00:00,2019-08-08 17:12:00+00:00,37.949747,-120.420058,21.0,0.038425925925925926,89.0,61.0,73.5,46.4,0.0,10.6,32.2,301.0,3.1,42.93,423.1,24.4,1.2999992370605469,4588.0,438,2.9930572509765625
Heavy Range Fire,Yolo,2019-08-10,2019-08-10 18:47:02+00:00,2019-08-10 15:07:00+00:00,39.171091,-121.423281,33.0,-0.15280092592592592,86.8,62.9,73.6,57.0,0.0,12.3,18.3,171.04,12.4,59.45,347.3,20.0,2.639999389648437,2609.0,52,3.701814651489258
Radio Fire,Riverside,2019-08-12,2019-08-12 10:53:10+00:00,2019-08-12 08:21:00+00:00,33.909792,-117.004667,20.0,-0.10567129629629629,90.0,55.0,72.3,52.4,0.0,13.0,18.3,202.0,0.0,54.58,458.9,26.4,2.260000228881836,3033.0,804,2.164592027664185
Greenstone Fire ,El Dorado,2019-08-14,2019-08-14 16:07:49+00:00,2019-08-14 18:52:00+00:00,38.703889,-120.890556,16.0,0.1140162037037037,94.1,71.8,82.6,45.5,0.0,10.7,18.3,178.58,0.0,28.46,405.3,23.3,1.489999771118164,5859.0,452,9.269031524658203
Spring Fire ,Colusa,2019-08-14,2019-08-14 12:52:00+00:00,2019-08-14 18:51:00+00:00,39.088333,-122.309167,20.0,0.24930555555555556,101.1,64.5,84.0,56.1,0.0,6.6,,204.0,0.5,42.04,517.9,28.0,1.8700008392333984,3669.0,255,8.356167793273926
West Fire ,Los Angeles,2019-08-13,2019-08-13 14:37:54+00:00,,34.675542,-118.342239,105.0,,98.7,58.0,79.9,36.8,0.0,18.4,24.2,229.13,0.0,25.32,540.9,27.3,1.6399993896484375,2848.0,842,4.761630058288574
Patterson Fire,El Dorado,2019-08-15,2019-08-15 17:47:43+00:00,2019-08-16 10:35:00+00:00,38.652475,-120.826165,35.0,0.6995023148148148,94.7,74.0,84.1,43.2,0.0,12.3,13.9,180.0,0.0,24.76,422.1,24.3,2.510000228881836,6387.0,358,2.373934268951416
Bayliss Fire,Santa Clara,2019-08-15,2019-08-15 13:44:02+00:00,,37.219717,-121.761974,60.0,,94.2,64.2,78.2,55.6,0.0,14.1,27.7,187.5,1.3,48.92,506.1,25.5,1.950000762939453,3602.0,67,0.9274099469184875
Timm Fire ,Solano,2019-08-13,2019-08-13 15:41:24+00:00,2019-08-13 18:00:00+00:00,38.455,-121.969167,81.0,0.09625,99.1,60.0,80.0,53.8,0.0,9.1,,210.88,0.0,45.26,419.7,24.2,3.09000015258789,2677.0,46,1.5039868354797363
Golf Fire,Lake,2019-08-08,2019-08-08 14:55:59+00:00,2019-08-11 10:28:00+00:00,38.99174,-122.7751,20.0,2.813900462962963,80.6,54.0,65.4,51.0,0.0,12.1,17.2,189.86,7.8,63.1,443.0,27.1,1.2800006866455078,7207.0,920,31.324447631835938
Lower Fire,Shasta,2019-08-12,2019-08-12 14:16:53+00:00,2019-08-13 16:15:00+00:00,40.46968,-122.54364,46.0,1.0820254629629629,95.9,66.7,81.6,49.6,0.0,10.1,,180.04,0.0,38.56,479.1,25.9,1.5,3606.0,324,3.7678685188293457
Border 9 Fire,San Diego,2019-08-15,2019-08-15 16:24:24+00:00,2019-08-16 18:44:00+00:00,32.57394,-116.760465,80.0,1.0969444444444445,78.6,63.7,69.2,62.1,0.0,10.8,19.7,287.75,44.3,79.56,472.8,27.2,2.09000015258789,3156.0,198,14.101288795471191
Border 8 Fire,Mexico,2019-08-16,2019-08-16 06:14:55+00:00,2019-08-17 14:30:00+00:00,32.573437,-116.658735,1507.0,1.3438078703703704,75.3,62.3,67.0,59.7,0.0,9.8,20.8,202.63,58.1,78.66,453.8,26.1,1.7999992370605469,1508.0,581,4.309768199920654
Cottage Fire,Shasta,2019-08-15,2019-08-15 15:09:55+00:00,2019-08-17 18:43:00+00:00,40.484329,-122.159393,156.0,2.147974537037037,107.8,71.6,91.2,50.9,0.0,12.4,20.8,261.29,0.0,29.36,448.1,25.8,1.739999771118164,2486.0,167,2.437415599822998
Moose Fire,Mendocino,2019-08-12,2019-08-12 17:10:00+00:00,2019-08-17 18:15:00+00:00,39.005262,-123.195306,225.0,5.045138888888889,91.3,55.9,72.5,47.1,0.0,10.2,20.7,195.83,0.0,47.24,379.1,23.2,1.4500007629394531,5888.0,384,28.052003860473636
Patterson Fire,Alameda,2019-08-21,2019-08-21 17:56:05+00:00,2019-08-21 18:27:00+00:00,37.71734,-121.55867,139.0,0.021469907407407406,90.6,57.5,72.3,56.2,0.0,14.5,,296.42,2.4,61.9,458.9,19.8,1.8700008392333984,1915.0,159,15.994112014770508
Ward Fire,State of Oregon,2019-08-09,2019-08-09 23:08:25+00:00,2019-08-18 16:33:00+00:00,42.033,-122.175,1301.0,8.725405092592593,79.0,55.7,66.5,47.8,0.02,15.4,28.6,187.25,25.2,54.1,267.9,22.2,-1.6000003814697266,3080.0,1120,8.72204303741455
Yucca Fire,Riverside,2019-08-22,2019-08-22 19:31:10+00:00,2019-08-23 23:00:00+00:00,33.4506,-116.857817,34.0,1.145023148148148,85.2,56.8,69.6,52.6,0.0,13.3,20.8,219.08,11.0,57.34,506.1,27.3,2.3600006103515625,2673.0,652,4.43757438659668
Ivy Fire,Riverside,2019-08-25,2019-08-25 10:58:28+00:00,2019-08-25 13:00:00+00:00,33.77777348,-117.487578,80.0,0.08439814814814815,96.4,64.6,79.4,58.7,0.0,16.5,25.4,261.71,1.2,54.81,428.3,23.1,2.389999389648437,2569.0,306,1.4506725072860718
Jamieson Fire,Santa Clara,2019-08-25,2019-08-25 13:06:49+00:00,,37.034183,-121.45597,35.0,,85.3,57.9,67.3,57.9,0.0,19.3,30.0,160.08,17.4,74.81,449.1,25.9,1.6599998474121094,3360.0,300,3.881692886352539
Sage Fire,Riverside,2019-08-27,2019-08-27 11:33:56+00:00,2019-08-27 08:54:00+00:00,33.463991,-116.914799,12.0,-0.11106481481481481,89.9,65.5,74.8,55.7,0.0,10.3,17.2,121.08,11.0,53.57,533.9,26.9,1.920000076293945,2323.0,517,4.807207107543945
Long Valley Fire ,Lassen,2019-08-24,2019-08-24 17:25:04+00:00,2019-08-27 09:01:00+00:00,39.892222,-120.029722,2438.0,2.6499537037037038,92.9,59.0,75.9,46.8,0.0,18.3,33.3,296.21,5.3,38.9,431.3,23.3,1.7900009155273438,2290.0,1413,6.624269485473633
Border 10 Fire,"Mexico, San Diego",2019-08-25,2019-08-25 16:15:15+00:00,2019-08-28 08:54:00+00:00,32.557546,-116.873955,25.0,2.693576388888889,88.6,65.7,76.7,61.1,0.0,11.0,18.3,270.71,4.6,62.55,420.1,22.7,2.1599998474121094,2234.0,311,27.382177352905277
Carroll Fire,Alameda,2019-08-31,2019-08-31 12:55:15+00:00,2019-08-31 12:50:00+00:00,37.718636,-121.657011,19.0,-0.0036458333333333334,95.9,57.3,74.7,53.7,0.0,12.9,,202.0,0.0,54.8,480.0,25.9,2.3700008392333984,2158.0,316,8.983930587768555
Jolon Fire,Monterey,2019-09-01,2019-09-01 16:35:55+00:00,2019-09-02 10:08:00+00:00,35.906482,-120.992914,66.0,0.7306134259259259,106.1,57.8,80.0,48.4,0.0,16.1,,172.86,0.0,38.37,413.8,23.8,1.6800003051757812,2725.0,353,6.339735507965088
Mines Fire,Alameda,2019-09-02,2019-09-02 14:36:35+00:00,2019-09-02 19:13:00+00:00,37.545167,-121.596667,11.0,0.1919560185185185,84.9,61.6,70.9,55.7,0.0,16.4,20.8,281.63,9.7,60.77,450.7,24.3,1.2099990844726562,3913.0,941,18.3922176361084
Creek Fire,Tulare,2019-08-31,2019-08-31 15:31:59+00:00,,36.40193,-119.030621,756.0,,97.3,65.0,82.2,59.4,0.0,8.1,,257.13,0.0,49.72,387.4,16.7,2.389999389648437,3165.0,194,23.80778312683105
Antelope Fire,San Benito,2019-09-02,2019-09-02 15:40:37+00:00,2019-09-03 07:11:00+00:00,36.600167,-120.8405,167.0,0.646099537037037,85.8,61.8,72.9,55.7,0.0,14.9,18.3,300.46,0.0,57.06,138.7,12.0,-1.010000228881836,2064.0,382,1.481204867362976
Foster Fire ,San Benito,2019-09-04,2019-09-04 20:33:59+00:00,2019-09-04 20:33:00+00:00,36.732866,-121.39478,17.0,-0.0006828703703703704,80.6,60.0,67.2,55.7,0.0,18.4,,253.17,7.9,68.25,372.5,20.1,1.3600006103515625,4973.0,317,5.385144233703613
Glass Fire,Lake,2019-09-04,2019-09-04 16:26:00+00:00,2019-09-05 10:03:00+00:00,38.910498,-122.642572,28.0,0.7340277777777777,88.2,52.3,68.4,51.6,0.0,10.6,17.2,73.38,21.4,60.77,266.6,22.1,2.059999465942383,5927.0,480,12.975425720214844
Telephone Fire,San Bernardino,2019-09-02,2019-09-02 20:27:29+00:00,2019-09-06 08:00:00+00:00,34.353667,-117.343833,15.0,3.480914351851852,93.9,71.0,80.4,57.8,0.01,13.5,23.0,217.42,29.0,48.52,400.1,20.2,1.729999542236328,2532.0,1080,4.329072952270508
Deer Fire,Santa Cruz,2019-09-03,2019-09-03 15:36:45+00:00,2019-09-06 19:48:00+00:00,37.178353,-122.07743,10.0,3.1744791666666665,78.7,59.7,67.7,58.0,0.0,13.0,,225.04,19.7,72.6,331.4,16.7,1.2199993133544922,8313.0,383,31.443395614624023
Oak Fire,Lake,2019-09-07,2019-09-07 14:00:00+00:00,2019-09-08 07:00:00+00:00,38.955024,-122.833831,53.0,0.7083333333333334,73.8,55.7,63.7,53.3,0.0,15.0,29.9,174.67,21.6,70.35,239.0,20.6,2.25,4066.0,438,6.551979064941406
Country Fire,El Dorado,2019-09-03,2019-09-03 14:57:31+00:00,2019-09-06 07:24:00+00:00,38.898915,-120.946657,85.0,2.6850578703703705,91.7,72.7,84.1,52.0,0.0,7.1,,154.88,0.3,34.46,361.3,22.1,1.7099990844726562,5759.0,505,6.57193660736084
Flood Fire ,San Joaquin,2019-09-05,2019-09-05 14:33:01+00:00,2019-09-05 19:56:00+00:00,38.017138,-120.945044,44.0,0.22429398148148147,92.7,69.4,78.9,53.0,0.0,12.8,17.2,304.83,0.0,42.67,125.3,10.8,1.9300003051757808,2562.0,63,3.5273616313934326
Bailey Fire,Riverside,2019-09-10,2019-09-10 10:43:58+00:00,2019-09-10 10:45:00+00:00,33.496633,-116.631106,10.0,0.0007175925925925926,91.9,72.3,81.4,52.9,0.0,17.9,28.8,276.54,9.2,38.86,408.8,20.6,1.3999996185302734,2891.0,1179,5.129598140716553
Duzel Fire,Siskiyou,2019-09-07,2019-09-07 18:19:16+00:00,2019-09-10 19:27:00+00:00,41.512917,-122.740333,15.0,3.047037037037037,83.0,52.3,66.2,41.2,0.0,11.1,27.7,202.88,2.8,44.41,309.3,17.8,-0.630000114440918,5344.0,1575,20.12681770324707
Stuhr Fire ,Stanislaus,2019-09-11,2019-09-11 11:25:43+00:00,,37.32585,-121.110146,190.0,,85.0,56.4,70.4,51.8,0.0,14.0,18.3,323.25,0.0,55.72,339.3,18.3,1.170000076293945,2452.0,56,7.3349833488464355
Redwood Fire,Riverside,2019-09-12,2019-09-12 20:30:41+00:00,,33.854597,-117.270144,34.0,,97.7,53.2,75.4,51.6,0.0,17.0,22.4,175.04,0.0,55.98,426.0,21.5,1.8600006103515625,2258.0,490,1.854334115982056
Forbestown Fire,Butte,2019-09-06,2019-09-06 15:18:52+00:00,2019-09-12 18:49:00+00:00,39.470333,-121.412333,58.0,6.145925925925926,92.0,60.7,75.9,51.9,0.0,11.7,,158.29,0.2,46.86,529.3,45.7,1.5300006866455078,3209.0,584,3.671440124511719
Bridge Fire,Stanislaus,2019-09-13,2019-09-13 20:00:29+00:00,2019-09-13 21:43:00+00:00,37.492002,-120.401028,11.0,0.07119212962962963,97.0,57.2,76.8,50.2,0.0,9.3,,238.83,1.3,45.99,384.1,20.7,1.6900005340576172,2328.0,99,0.9274099469184875
McMurray Fire,Santa Barbara,2019-09-09,2019-09-09 17:42:43+00:00,2019-09-14 08:00:00+00:00,34.630919,-120.187368,200.0,4.595335648148148,79.3,50.5,61.3,53.2,0.0,18.9,27.1,233.08,31.3,78.32,403.1,23.2,1.8799991607666016,4388.0,135,5.007071018218994
Kennedy Fire,Riverside,2019-09-21,2019-09-21 17:22:00+00:00,2019-09-22 17:00:00+00:00,33.900994,-117.170588,98.0,0.9847222222222223,91.7,52.6,71.9,47.9,0.0,12.9,19.7,147.71,0.0,55.69,473.8,22.2,1.3199996948242188,3283.0,495,6.217269420623779
Lynette Fire,Calaveras,2019-09-22,2019-09-22 18:25:56+00:00,,38.20177,-120.827386,67.0,,84.8,57.3,71.7,47.1,0.0,8.7,,160.71,5.2,44.8,173.6,8.7,2.059999465942383,3113.0,216,2.9994184970855717
