Latitude,Longitude,Date,PDSI
41.94622,-122.40157,2019-06-16,-1.5299997329711914
37.469,-121.3697,2019-07-05,2.479999542236328
40.679318,-120.392768,2019-07-05,5.549999237060547
37.63206,-121.538382,2019-07-03,2.6000003814697266
37.312877,-120.242411,2019-06-29,1.5499992370605469
37.18904,-121.694968,2019-07-02,1.8799991607666016
37.99837,-122.16201,2019-07-05,2.3899993896484375
40.41741,-122.767256,2019-07-05,1.4799995422363281
39.06066,-121.35014,2019-07-06,3.6599998474121094
33.9885,-117.38417,2017-12-21,-1.390000343322754
34.71796,-120.27077,2017-12-16,-1.510000228881836
38.869036,-119.61865,2017-12-28,3.1800003051757812
34.605358,-120.414875,2017-12-14,-1.390000343322754
35.95191,-120.8092,2019-07-09,2.059999465942383
33.69055556,-116.953889,2019-07-11,2.5799999237060547
33.8128372,-117.1228851,2019-07-13,2.6800003051757812
37.524378,-120.296551,2019-07-08,2.729999542236328
37.093243,-121.586846,2019-07-12,2.940000534057617
37.32555556,-121.76444444,2019-07-15,2.190000534057617
34.366111,-118.96,2019-07-14,1.8400001525878906
32.566389,-116.7525,2019-07-12,2.5400009155273438
40.463936,-122.435492,2019-07-12,2.049999237060547
37.944751,-120.84372,2019-07-15,2.489999771118164
37.016944,-119.934167,2019-07-15,2.0799999237060547
33.56938,-116.07896,2019-07-12,0.7399997711181641
33.514658,-116.7884,2019-07-16,2.2099990844726562
37.962557,-121.468074,2019-07-16,2.049999237060547
37.420988,-121.371276,2019-07-18,2.6399993896484375
32.794768,-116.839743,2019-07-17,2.8999996185302734
38.115224,-120.78068,2019-07-18,2.059999465942383
35.004722,-120.435278,2019-07-24,2.6299991607666016
37.241427,-120.027731,2019-07-21,2.9099998474121094
34.9008333,-118.9183333,2019-07-21,2.5
39.423833,-121.579738,2019-07-23,2.3799991607666016
34.42386,-117.10318,2019-07-22,-0.039999961853027344
33.997528,-117.769766,2019-07-28,1.7299995422363281
38.757636,-120.75664,2019-07-30,2.729999542236328
32.767649,-116.796032,2019-07-28,2.799999237060547
37.433192,-121.807258,2019-07-24,2.5
38.158333,-122.118889,2019-07-24,3.0799999237060547
38.481258,-122.143942,2019-07-22,2.489999771118164
38.622058,-121.114095,2019-08-02,1.9799995422363281
38.3525,-121.123611,2019-08-02,1.7999992370605469
35.60989,-118.41204,2019-07-31,3.6200008392333984
33.740219,-117.333728,2019-08-05,2.25
35.287373,-118.623651,2019-08-05,2.8700008392333984
40.55924,-122.25409,2019-08-04,1.9099998474121094
40.943799,-120.275298,2019-08-08,3.3600006103515625
37.708743,-121.841879,2019-08-09,2.4200000762939453
