Latitude,Longitude,Date,Maximum Temperature,Minimum Temperature,Temperature,Dew Point,Wind Chill,Heat Index,Precipitation,Precipitation Cover,Snow,Snow Depth,Wind Speed,Wind Gust,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Sea Level Pressure,Solar Radiation,Solar Energy,Weather Type,Info,Conditions
38.115224,-120.78068,2019-07-18,93.3,66.3,79.2,55.2,,90.4,0.0,0.0,0.0,0.0,14.3,23.0,242.63,9.9,0.3,46.3,1011.0,235.8,13.6,,,Clear
35.004722,-120.435278,2019-07-24,82.6,55.0,66.6,56.3,,82.0,0.0,0.0,0.0,0.0,16.3,25.3,232.79,7.3,4.1,72.97,1014.7,300.2,23.8,"Mist, Smoke Or Haze",,Clear
37.241427,-120.027731,2019-07-21,96.6,63.1,80.0,56.4,,95.1,0.0,0.0,0.0,0.0,7.9,,299.46,9.9,2.7,48.24,1011.0,337.0,29.1,,,Clear
34.9008333,-118.9183333,2019-07-21,92.7,63.2,77.3,49.7,,89.5,0.0,0.0,0.0,0.0,14.1,20.8,254.29,9.9,0.0,40.79,1014.7,531.7,28.7,,,Clear
39.423833,-121.579738,2019-07-23,99.9,70.8,85.0,52.9,,95.7,0.0,0.0,0.0,0.0,13.6,17.3,161.92,9.9,0.2,36.86,1013.6,605.0,52.3,,,Clear
34.42386,-117.10318,2019-07-22,99.9,52.1,69.7,47.2,,98.2,0.03,12.5,0.0,0.0,15.1,,300.67,9.8,35.5,47.99,1021.0,280.6,17.2,"Rain, Heavy Rain, Light Rain",,"Rain, Partially cloudy"
33.997528,-117.769766,2019-07-28,92.9,68.8,79.9,60.5,,93.5,0.0,0.0,0.0,0.0,15.7,23.0,273.29,9.9,30.7,53.68,1013.7,406.5,24.9,Smoke Or Haze,,Partially cloudy
38.757636,-120.75664,2019-07-30,84.3,67.0,75.5,41.8,,81.5,0.0,0.0,0.0,0.0,8.1,19.7,178.92,9.9,0.0,31.37,1016.0,421.2,25.8,,,Clear
32.767649,-116.796032,2019-07-28,82.1,63.7,72.0,62.0,,83.5,0.0,0.0,0.0,0.0,9.9,18.3,265.52,8.7,31.1,72.35,1014.1,432.4,24.9,Mist,,Partially cloudy
37.433192,-121.807258,2019-07-24,92.8,61.8,75.4,53.1,,89.3,0.0,0.0,0.0,0.0,13.6,,274.13,9.9,14.2,53.7,1014.4,447.8,27.4,,,Clear
